movie_id,company_id,company_name,origin_country
173,3166,Walt Disney Productions,US
522417,17009,Universal 1440 Entertainment,US
258230,1246,River Road Entertainment,US
258230,6735,Participant,US
258230,8111,Apaches Films,ES
258230,53490,La Trini,ES
258230,112286,A Monster Calls,ES
258230,2674,Telecinco Cinema,ES
71864,2,Walt Disney Pictures,US
823482,41077,A24,US
823482,123620,Square Peg,US
823482,831,Saturn Films,US
10437,2,Walt Disney Pictures,US
10437,2504,Jim Henson Productions,US
1659077,62358,Boddah,HU
1659077,228808,Avec ou Sans Vous,FR
1659077,79397,XBO films,FR
10439,2,Walt Disney Pictures,US
10439,8830,Touchwood Pacific Partners 1,US
10439,11050,David Kirschner Productions,US
8392,10342,Studio Ghibli,JP
8392,12516,Nibariki,JP
8392,1779,Tokuma Shoten,JP
