movie_id,genre_id
8204,10751
8204,12
8204,14
8204,18
550205,16
550205,10751
550205,35
550205,14
550205,10749
550205,12
442062,35
442062,14
442062,27
442062,10751
10439,14
10439,35
10439,10751
1131759,28
1131759,12
1131759,14
13597,12
13597,10751
13597,14
1153714,27
1153714,14
1153714,35
634492,28
634492,14
900667,16
900667,12
900667,28
900667,14
10515,12
10515,14
10515,16
10515,28
10515,10751
1359607,16
1359607,35
1359607,14
267935,12
267935,10751
267935,14
9312,28
9312,14
451048,14
451048,12
451048,28
2280,14
2280,18
2280,35
2300,10751
2300,16
2300,878
2300,14
2300,35
849,28
849,12
849,14
849,878
756,16
756,10751
756,14
9374,35
9374,14
9374,27
1014505,28
1014505,12
1014505,16
1014505,14
917496,35
917496,14
917496,27
1022453,35
1022453,27
1022453,14
70841,16
70841,12
70841,10751
70841,14
70841,878
381289,12
381289,35
381289,14
381289,10751
381289,18
9479,14
9479,16
9479,10751
76338,28
76338,12
76338,14
10137,10751
10137,14
10137,35
10137,12
1040148,16
1040148,10751
1040148,14
1040148,35
1155281,28
1155281,14
1155281,10752
68728,14
68728,12
68728,10751
205584,28
205584,12
205584,14
1487,14
1487,28
116711,16
116711,12
116711,10751
116711,14
762,12
762,35
762,14
572154,16
572154,10749
572154,18
572154,14
793387,28
793387,14
793387,27
793387,53
5994,35
5994,18
5994,10749
5994,14
192904,16
192904,12
192904,10751
192904,878
192904,14
448119,10751
448119,35
448119,14
448119,12
615453,16
615453,14
615453,12
9946,28
9946,27
9946,14
15370,12
15370,14
15370,16
15370,18
15370,10751
14784,12
14784,14
14784,18
11428,27
11428,14
11428,53
795,10749
795,18
795,14
338952,14
338952,12
9543,12
9543,14
9543,28
399055,18
399055,14
399055,10749
10719,35
10719,10751
10719,14
49524,14
49524,28
49524,35
559907,12
559907,18
559907,14
58595,12
58595,14
58595,18
11224,10751
11224,14
11224,16
11224,10749
1995,12
1995,28
1995,14
638507,16
638507,14
638507,12
638507,10751
14442,10751
14442,14
14442,35
136799,10751
136799,16
136799,14
136799,12
136799,35
136799,10402
11852,35
11852,14
2044,10749
2044,18
2044,9648
2044,14
454639,28
454639,14
454639,878
218726,12
218726,10751
218726,16
218726,35
218726,14
218726,878
961323,16
961323,10751
961323,12
961323,14
961323,35
961323,28
961323,18
961323,878
555604,16
555604,14
555604,12
555604,18
335360,10751
335360,16
335360,12
335360,14
9992,12
9992,14
9992,16
9992,10751
1304434,16
1304434,12
1304434,14
1304434,35
34584,12
34584,14
34584,10751
34584,18
1058537,28
1058537,12
1058537,14
1058537,27
11497,18
11497,16
11497,10751
11497,35
11497,14
1550797,16
1550797,35
1550797,14
1550797,10751
244,12
244,14
244,27
244458,35
244458,80
